Print ISBN,eBook ISBN,File Name,Title,Subtitle,Contributor 1 Role,Contributor 1 Full Name,Contributor 2 Role,Contributor 2 Full Name,Contributor 3 Role,Contributor 3 Full Name,Contributor 4 Role,Contributor 4 Full Name,Contributor 5 Role,Contributor 5 Full Name,Contributor 6 Role,Contributor 6 Full Name,Contributor 7 Role,Contributor 7 Full Name,Price,Main Description
9781604865875,9781604867053,23_Shades_of_black_9781604867053.pdf,23 Shades of Black,,Author,Kenneth Wishnia,Introduction by,Barbara D’Amato,,,,,,,,,,,17.95,"<p><em>23 Shades of Black</em> is socially conscious crime fiction. It takes place in New York City in the early 1980s, i.e., the Reagan years, and was written partly in response to the reactionary discourse of the time, when the current thirty-year assault on the rights of working people began in earnest, and the divide between rich and poor deepened with the blessing of the political and corporate elites. But it is not a political tract, it&rsquo;s a kick-ass novel that was nominated for the Edgar and the Anthony Awards, and made <em>Booklist&rsquo;s</em> Best First Mysteries of the Year.</p>
<p>The heroine, Filomena Buscarsela, is an immigrant who experienced tremendous poverty and injustice in her native Ecuador, and who grew up determined to devote her life to helping others. She tells us that she really should have been a priest, but since that avenue was closed to her, she chose to become a cop instead. The problem is that as one of the first Latinas on the NYPD, she is not just a woman in a man&rsquo;s world, she is a woman of color in a white man&rsquo;s world. And it&rsquo;s hell. Filomena is mistreated and betrayed by her fellow officers, which leads her to pursue a case independently in the hopes of being promoted to detective for the Rape Crisis Unit. </p><p>Along the way, she is required to enforce unjust drug laws that she disagrees with, and to betray her own community (which ostracizes her as a result) in an undercover operation to round up undocumented immigrants. Several scenes are set in the East Village art and punk rock scene of the time, and the murder case eventually turns into an investigation of corporate environmental crime from a working class perspective that is all-too-rare in the genre.</p><p>And yet this thing is damn funny, too.</p>"
9781604861068,9781604862614,500_Years_Indigenous_Resistance_9781604862614.pdf,500 Years of Indigenous Resistance,,Author,Gord Hill,,,,,,,,,,,,,12.00,"<p>The history of the colonization of the Americas by Europeans is often portrayed as a mutually beneficial process, in which ”civilization” was brought to the Natives, who in return shared their land and cultures. A more critical history might present it as a genocide in which Indigenous peoples were helpless victims, overwhelmed and awed by European military power. In reality, neither of these views is correct. </p>
<p><em>500 Years of Indigenous Resistance</em> is more than a history of European colonization of the Americas. In this slim volume, Gord Hill chronicles the resistance by Indigenous peoples, which limited and shaped the forms and extent of colonialism. This history encompasses North and South America, the development of nation-states, and the resurgence of Indigenous resistance in the post-WW2 era. </p>"
9781604865219,9781604861679,5th_Inning_9781604861679.pdf,5th Inning,,Author,E. Ethelbert Miller,,,,,,,,,,,,,15.95,"<p><em>The 5th Inning</em> is poet and literary activist E. Ethelbert Miller&rsquo;s second memoir. Coming after<em> Fathering Words: The Making of an African American Writer</em> (published in 2000), this book finds Miller returning to baseball, the game of his youth, in order to find the metaphor that will provide the measurement of his life. At 60, he ponders whether his life can now be entered into the official record books as a success or failure.</p>
<p><em>The 5th Inning</em> is one man&rsquo;s examination of personal relationships, depression, love and loss. This is a story of the individual alone on the pitching mound or in the batters box. It&rsquo;s a box score filled with remembrance. It&rsquo;s a combination of baseball and the blues. The paperback has an additional chapter.</p>"
9781604861983,9781604863857,abe_in_arms_9781604863857.pdf,Abe in Arms,,Author,Pegi Deitz Shea,,,,,,,,,,,,,15.00,"<p>A senior in high school, Abe's got a Division I track scholarship awaiting him, a hot girlfriend, and a loving and wealthy adoptive family, including a brother his age. But suddenly, horrific flashbacks and seizures rip him back five years ago to war-torn Africa, where he lost his mother, his sister, his friends, and almost his own life to torturous violence. In therapy for Post Traumatic Stress Disorder, Abe uncovers even darker moments that make him question why he's still alive.<br /> <br /> This contemporary young adult novel portrays the pressures of teens to live a normal life, let alone succeed at high levels; while facing mental illness and&mdash;in Abe's case&mdash;a past that no one could possibly understand&hellip; or survive.</p>
<p>Pegi Deitz Shea has written a suspenseful, action-filled book that will open teens' eyes and hearts to the lives of young people exposed to violence around the world.</p>"
9781604860481,9781604863888,Abolish_Restaurants_9781604863888.pdf,Abolish Restaurants,A Worker's Critique of the Food Service Industry,Author,Prole.info,,,,,,,,,,,,,6.95,"<p>A 60-page illustrated guide to the daily misery, stress, boredom, and alienation of restaurant work, as well as the ways restaurant workers fight against it. Drawing on a range of anticapitalist ideas as well as a heaping plate of personal experience, it is part analysis and part call-to-arms.</p>"
9781604863406,9781604869958,abolish_work_9781604869958.pdf,Abolish Work,"""Abolish Restaurants"" Plus ""Work, Community, Politics, War""",Author,Prole.info,,,,,,,,,,,,,9.95,"<p>Finally available for the first time in a single book format, <em>Abolish Work</em> combines two influential and well-circulated pamphlets written from the frontlines of the class war. The texts from the anonymous workers at Prole.info offer cutting-edge class analysis and critiques of daily life accompanied by uncensored, innovative illustrations.</p>
<p>Moving from personal thoughts and interactions to large-scale political and economic forces, <em>Abolish Work</em> reads alternately like a worker&rsquo;s diary, a short story, a psychology of everyday life, a historical account, and an angry flyer someone would pass you on the street.</p>
<p>The classic &ldquo;Abolish Restaurants&rdquo; is an illustrated guide to the daily misery, stress, boredom, and alienation of restaurant work, as well as the ways in which restaurant workers fight against it. Drawing on a range of anti-capitalist ideas as well as a heaping plate of personal experience, it is part analysis and part call-to-arms. An additional piece, &ldquo;Work, Community, Politics, War&rdquo; is a comic book introduction to modern society, identifying both the oppressive and subversive tendencies that exist today in order to completely remake society.</p>"
9781629636405,9781629636580,about_anarchism_9781629636580.pdf,About Anarchism,,Author,Nicolas Walter,Introduction by,Natasha Walter,,,,,,,,,,,14.95,"<p>Today the word &ldquo;anarchism&rdquo; inspires both fear and fascination. But few people understand what anarchists believe, what anarchists want, and what anarchists do. This incisive book puts forward the case for anarchism as a pragmatic philosophy.</p>
<p>Originally written in 1969 and updated for the twenty-first century, <em>About Anarchism</em> is an uncluttered, precise, and urgently necessary expression of practical anarchism. Crafted in deliberately simple prose and without constant reference to other writers or past events, it can be understood without difficulty and without any prior knowledge of political ideology.</p>
<p>As one of the finest short introductions to the basic concepts, theories, and applications of anarchism, <em>About Anarchism</em> has been translated into many languages, including French, Spanish, Japanese, Chinese, Polish, and Russian. This new edition includes an updated introduction from Natasha Walter and an expanded biographical sketch of the author, Nicolas Walter, who was a respected writer, journalist, and an active protester against the powers of both the church and the state.</p>"
9781604864403,9781604866070,about_face_9781604866070.pdf,About Face,Military Resisters Turn Against War,Edited by,Buff Whitman-Bradley,Edited by,Sarah Lazare,Edited by,Cynthia Whitman-Bradley,,,,,,,,,20.00,"<p>How does a young person who volunteers to serve in the U.S. military become a war-resister who risks ostracism, humiliation, and prison rather than fight? Although it is not well publicized, the long tradition of refusing to fight in unjust wars continues today within the American military.</p>
<p>In this book, resisters describe in their own words the process they went through, from raw recruits to brave refusers. They speak about the brutality and appalling violence of war; the constant dehumanizing of the enemy&mdash;and of our own soldiers&mdash;that begins in Basic Training; the demands that they ignore their own consciences and simply follow orders. They describe how their ideas about the justification for the current wars changed and how they came to oppose the policies and practices of the U.S. empire, and even war itself. Some of the refusers in this book served one or more tours of duty in Iraq and Afghanistan, and returned with serious problems resulting from Post-Traumatic Stress Disorder. Others heard such disturbing stories of violence from returning vets that they vowed not to go themselves. Still others were mistreated in one way or another and decided they&rsquo;d had enough. Every one of them had the courage to say a resounding &ldquo;NO!&rdquo; The stories in this book provide an intimate, honest look at the personal transformation of each of these young people and at the same time constitute a powerful argument against militarization and endless war. </p>
<p>Also featured are exclusive interviews with Noam Chomsky and Daniel Ellsberg. Chomsky looks at the U.S.-led wars in Iraq and Afghanistan and the potential of GI resistance to play a role in bringing the troops home. Ellsberg relates his own act of resistance in leaking the <em>Pentagon Papers</em> in 1971 to the current WikiLeaks revelations of U.S. military secrets.</p>"
9781629636443,9781629636566,abundance_9781629636566.pdf,Abundance,,Author,Michael Fine,,,,,,,,,,,,,17.95,"<p>Julia is an American medical doctor fleeing her own privileged background to find a new life delivering health care to African villages, where her skills can make a difference. Carl is also an American, whose very different experiences as a black man in the United States have driven him into exile in West Africa, where he is an international NGO expat. The two come together as colleagues (and then more) as Liberia is gripped in a brutal civil war. Child soldiers kidnap Julia on a remote jungle road, and Carl is evacuated against his will by U.S. Marines. Back in the United States he finds Julia&rsquo;s mentor, Levin, a Rhode Island MD whose Sixties idealism has been hijacked by history. Then they meet the thief. Then they meet the smuggler. And the dangerous work of finding and rescuing Julia begins.</p>
<p>An unforgettable thriller grounded in real events.</p>"
9781604866667,9781604868135,accompanying_9781604868135.pdf,Accompanying,Pathways to Social Change,Author,Staughton Lynd,,,,,,,,,,,,,14.95,"<p>In <em>Accompanying</em>, Staughton Lynd distinguishes two strategies of social change. The first, characteristic of the 1960s Movement in the United States, is &ldquo;organizing.&rdquo; The second, articulated by Archbishop Oscar Romero of El Salvador, is &ldquo;accompaniment.&rdquo; The critical difference is that in accompanying one another the promoter of social change and his or her oppressed colleague view themselves as two experts, each bringing indispensable experience to a shared project. Together, as equals, they seek to create what the Zapatistas call &ldquo;another world.&rdquo;</p>
<p>Staughton Lynd applies the distinction between organizing and accompaniment to five social movements in which he has taken part: the labor and civil rights movements, the antiwar movement, prisoner insurgencies, and the movement sparked by Occupy Wall Street. His wife Alice Lynd, a partner in these efforts, contributes her experience as a draft counselor and advocate for prisoners in maximum-security confinement.</p>"
9781629639178,9781629639277,adventure_capitalism_9781629639277.pdf,Adventure Capitalism,"A History of Libertarian Exit, from the Era of Decolonization to the Digital Age",Author,Raymond Craib,,,,,,,,,,,,,24.95,"<p><b>Imagine a capitalist paradise.</b> An island utopia governed solely by the rules of the market and inspired by the fictions of Ayn Rand and Robinson Crusoe. Sound far-fetched? It may not be. The past half century is littered with the remains of such experiments in what Raymond calls “libertarian exit.” Often dismissed as little more than the dreams of crazy, rich Caucasians, exit strategies have been tried out from the southwest Pacific to the Caribbean, from the North Sea to the high seas, often with dire consequences for local inhabitants.&nbsp; Based on research in archives in the US, the UK, and Vanuatu, as well as in FBI files acquired through the Freedom of Information Act, Craib explores in careful detail the ideology and practice of libertarian exit and its place in the histories of contemporary cap­italism, decolonization, empire, and oceans and islands. <i>Adventure Capitalism </i>is a global history that intersects with an array of figures: Fidel Castro and the Koch brothers, American segregationists and Melanesian socialists, Honolulu-based real estate speculators and British Special Branch spies, soldiers of fortune and English lords, Orange County engineers and Tongan navigators, CIA operatives and CBS news executives, and a new breed of techno-utopians and an old guard of Honduran coup leaders. This is not only a history of our time but, given the new iterations of privatized exit—seasteads, free private cities, and space colonization—it is also a history of our future.</p>"
